Name,URL,Rating,Notes,Detektiiif,InViewer,IIIFLink,IIIFLogo,DragDrop,Comment,Acad Tech,Latitude,Longitude
Amherst College,https://acdc.amherst.edu/view/asc,4,,,,1,1,,,https://www.aws.amherst.edu/offices/it/academic-technology-services,-72.5170028,42.3709104
Baylor University,https://digitalcollections-baylor.quartexcollections.com/,4,Icon goes to wrong place,,,1,1,,,https://library.web.baylor.edu/learningtechnologies,-97.11354,31.5500848
Bibliothèque Nationale de France,https://gallica.bnf.fr/accueil/fr/html/accueil-fr,4,,,,1,1,,,,2.3389067,48.8672227
Biblissima,https://iiif.biblissima.fr/collections/,4,an assembly of many repositories. All IIIF links use ?iiif-content=,,,1,1,?,,,2.3862252,48.8201942
Black Hills State University,https://explore.digitalsd.org/digital/custom/bhsu,4,,,,1,1,,,,-103.8722763,44.4993591
Bodleian Library,https://digital.bodleian.ox.ac.uk/,4,bw logo somewhat obscured,,,1,1,,,,-1.254042,51.754073
"California, University of (Berkeley)",https://www.lib.berkeley.edu/find/digital-collections,4,,,,1,1,,,,-122.2594606,37.870151
"California, University of (Berkeley)",https://digicoll.lib.berkeley.edu/,4,,,,1,1,,,https://rtl.berkeley.edu/,-122.2594606,37.870151
"California, University of (Los Angeles)",https://digital.library.ucla.edu/,4,,,,1,1,,Excellent,,-118.4438495,34.0699182
"California, University of (Santa Cruz)",https://digitalcollections.library.ucsc.edu/,4,logo goes to iiif.io ,,,1,1,,,https://tlc.ucsc.edu/about/who-we-are/,-122.0584354,36.9905322
Cambridge University,https://cudl.lib.cam.ac.uk/,4,,,,1,1,1,Excellent,,0.1077233,52.2051088
Center For Research Libraries,https://digitalcollections.crl.edu/,4,,,,1,1,,,,-87.5935751,41.784498
Colorado College,https://digitalcc.coloradocollege.edu/,4,same as crl above,,,1,1,,,,-104.82542,38.84919
Dakota State University,https://explore.digitalsd.org/digital/custom/dsu,4,,,,1,1,,,,-97.1103618,44.0126125
